asset_id,technical_name,source_ref,column_names_text,business_domain,llm_consensus_score,_votes,review_reason
1004595,SYSADM.PS_AGC_CAT_BTN,PS_AGC_CAT_BTN,AGC_BUTTON_ID | AGC_BUTTON_METHOD | AGC_CATEGORY_ID | DATA_TYPE_CD | DESCR | DESCRLONG | EFFDT | MESSAGE_NBR | MESSAGE_SET_NBR,IT & Sécurité,0.6667,"['IT & Sécurité', 'Other', 'IT & Sécurité']",low_consensus
1005015,SYSADM.PS_ALLOC_BASV_TBL,PS_ALLOC_BASV_TBL,EFFDT | FIELDNAME | PERCENTAGE | PROCESS_STEP | SELECT_VALUE | SEQUENCE_NBR_6 | SETID | TO_VALUE | VERSION_NUM,Finance & Contrôle,0.6667,"['Finance & Contrôle', 'Finance & Contrôle', 'IT & Sécurité']",low_consensus
1004361,SYSADM.PS_AC_ITMSEQ_TAO,PS_AC_ITMSEQ_TAO,BUSINESS_UNIT | CUST_ID | DEPOSIT_BU | DEPOSIT_ID | ID_SEQ_NUM | ITEM | ITEM_LINE | PAYMENT_SEQ_NUM | PROCESS_INSTANCE,Finance & Contrôle,0.5,"['IT & Sécurité', 'Finance & Contrôle']",coin_flip_reject
1004534,SYSADM.PS_AE_AM_UPG_AET,PS_AE_AM_UPG_AET,ACCOUNT | ACCOUNT_TO | AFFILIATE | AFFILIATE_INTRA1 | AFFILIATE_INTRA2 | ALTACCT | ALTACCT_TO | ASSET_ID | ASSET_ID_BOOK | ASSET_ID_PREV | BASIS_ID | BASIS_ID1 | BOOK | BUDGET_REF | BUSINESS_UNIT | CALENDAR_ID | CATEGORY | CF_SEQNO | CF_SEQNO_LAST | CHARTFIELD | CHARTFIELD1 | CHARTFIELD2 | CHARTFIELD3 | CHARTFIELD_VALUE | CHILD_TK_PARENT_SW | CLASS_FLD | COST_TYPE | COUNTER1 | DEPTID | DEPTID_TO | DTTM_STAMP | EFFDT | EFFDT_OLD | FIELDNAME | FIELDNAME1 | FIELD_NUM | FLAG | FLAG1 | FUND_CODE | LENGTH | LINE_NBR | LINE_NBR_WRK | OPERATING_UNIT | PROCESS_INSTANCE | PRODUCT | PROFILE_ID | PROGRAM_CODE | PROJECT_ID | PROJECT_ID_TO | REQUEST_ID | RETIRE_CONVENTION | RETIREMENT_PCT | RUN_CNTL_ID | SELECT_CLAUSE | SELECT_CLAUSE2 | SETID | SETID1 | SUM_BY_SW | UPDATE_ACTION | UPDATE_SW | UPG_RELEASE | WHERE_CLAUSE | WHERE_CLAUSE_LONG,Finance & Contrôle,0.5,"['IT & Sécurité', 'Finance & Contrôle']",coin_flip_reject
1004547,SYSADM.PS_AE_FRT_CALC_AET,PS_AE_FRT_CALC_AET,AE_LONG_CHUNK1 | AE_LONG_CHUNK2 | AE_LONG_CHUNK3 | BUSINESS_UNIT | CARRIER_ID | CURRENCY_CD | DESTIN_BU | DTTM_STAMP_SEC | FREIGHT_CALC | FREIGHT_CHARGE | FREIGHT_CHARGE_BSE | FRT_CHRG_METHOD | FRT_RULE_CD | INTERCOMPANY_FLG | INV_ITEM_ID_OPTION | LOAD_ID | LOCATION | OPRID | ORDER_INT_LINE_NO | ORDER_NO | PICK_BATCH_FROM | PICK_BATCH_ID | PICK_BATCH_TO | PROCESS_FREQUENCY | PROCESS_INSTANCE | PROCESS_INST_STG | REQUEST_ID | ROUTE_CD | RUN_CNTL_ID | SHIP_ID | SHIP_ID_EST | SOURCE_BUS_UNIT | TOTAL_QTY | TOTAL_VOLUME | TOTAL_WEIGHT | UNIT_MEASURE_VOL | UNIT_MEASURE_WT | UNIT_OF_MEASURE | WAVE_CD,Supply Chain / Logistique / Production,0.5,"['IT & Sécurité', 'Supply Chain / Logistique / Production']",coin_flip_reject
1004606,SYSADM.PS_AGC_CAT_NOT_LNG,PS_AGC_CAT_NOT_LNG,AGC_CATEGORY_ID | AGC_CAT_NOTIF_ID | AGC_EMAIL_SUBJECT | AGC_EMAIL_TEXTLONG | AGC_MESSAGE_TEXT | DESCR50 | LANGUAGE_CD,IT & Sécurité,0.5,"['Other', 'IT & Sécurité']",coin_flip_reject
1004611,SYSADM.PS_AGC_CAT_STEPBTL,PS_AGC_CAT_STEPBTL,AGC_BUTTON_METHOD | AGC_CATEGORY_ID | AGC_STEP_ID | DESCR | EFFDT | LANGUAGE_CD,Other,0.5,"['Other', 'IT & Sécurité']",coin_flip_reject
1004619,SYSADM.PS_AGC_CTXDTA_RQFD,PS_AGC_CTXDTA_RQFD,AGC_CTXDTA_ID | AGC_REQ_CTX_FLD | DATA_TYPE_CD,IT & Sécurité,0.5,"['Other', 'IT & Sécurité']",coin_flip_reject
1005008,SYSADM.PS_ALLOC_AMT_TMP,PS_ALLOC_AMT_TMP,FIELDNAME_BASIS | FIELDNAME_OFFSET | FIELDNAME_POOL | FIELDNAME_TARGET | LONGNAME,Finance & Contrôle,0.5,"['Other', 'Finance & Contrôle']",coin_flip_reject
1005079,SYSADM.PS_AM_AMDCALLC_AET,PS_AM_AMDCALLC_AET,CALENDAR_ID | CUR_FISCAL_YEAR | CURRENCY_CD | EFFDT | PROCESS_INSTANCE | ROUND_FACTOR | ROUND_PRECISION | ROUND_RULE_AM | ROUND_TYPE | SETID_CAL_DETP | TRUNCATE_FLAG,Finance & Contrôle,0.5,"['Finance & Contrôle', 'IT & Sécurité']",coin_flip_reject
