asset_id,technical_name,source_ref,asset_type,label_normalized,predicted_label,text_combined,field_count,nullable_field_count,non_nullable_field_count,numeric_field_count,date_field_count,text_field_count,large_text_field_count,avg_data_length,max_data_length,row_count,size_bytes,size_mb,has_profile_data,label_normalized_clean,label_raw,is_correct
1005064,SYSADM.PS_AM_ADJ_AF_HDR,PS_AM_ADJ_AF_HDR,oracle_table,Finance,RH,SYSADM.PS_AM_ADJ_AF_HDR PS_AM_ADJ_AF_HDR oracle_table,10,3,7,0,3,7,0,38.5,250.0,2.0,138.0,0.000131607055664,VRAI,Finance,Finance,False
1004570,SYSADM.PS_AE_SECTION_TMP,PS_AE_SECTION_TMP,oracle_table,Technique,Finance,SYSADM.PS_AE_SECTION_TMP PS_AE_SECTION_TMP oracle_table,10,0,10,1,1,8,0,6.5,30.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1004624,SYSADM.PS_AGC_NOTIFY_AET,PS_AGC_NOTIFY_AET,oracle_table,Technique,Finance,SYSADM.PS_AGC_NOTIFY_AET PS_AGC_NOTIFY_AET oracle_table,7,0,7,1,0,6,0,47.0,254.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1004342,SYSADM.PSACECUBECOLMAP,PSACECUBECOLMAP,oracle_table,Technique,Finance,SYSADM.PSACECUBECOLMAP PSACECUBECOLMAP oracle_table,0,0,0,0,0,0,0,,,171.0,14022.0,0.0133724212646484,VRAI,Technique,IT,False
1004587,SYSADM.PS_AE_TREURODL_AET,PS_AE_TREURODL_AET,oracle_table,Technique,Finance,SYSADM.PS_AE_TREURODL_AET PS_AE_TREURODL_AET oracle_table,5,0,5,2,0,3,0,8.6,15.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1004528,SYSADM.PS_AE_AMGRPCON_AET,PS_AE_AMGRPCON_AET,oracle_table,Technique,Finance,SYSADM.PS_AE_AMGRPCON_AET PS_AE_AMGRPCON_AET oracle_table,108,11,97,18,11,79,0,9.296296296296296,30.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1005169,SYSADM.PS_AM_ARO_RPT_AET,PS_AM_ARO_RPT_AET,oracle_table,Finance,Technique,SYSADM.PS_AM_ARO_RPT_AET PS_AM_ARO_RPT_AET oracle_table,35,3,32,5,2,28,1,122.88571428571429,4000.0,0.0,0.0,0.0,VRAI,Finance,Finance,False
1004583,SYSADM.PS_AE_SYNCGEN_AET,PS_AE_SYNCGEN_AET,oracle_table,Technique,Finance,SYSADM.PS_AE_SYNCGEN_AET PS_AE_SYNCGEN_AET oracle_table,6,0,6,2,0,4,0,14.5,30.0,0.0,0.0,0.0,VRAI,Technique,IT,False
1005206,SYSADM.PS_AM_AUD_HDR_TAO,PS_AM_AUD_HDR_TAO,oracle_table,Finance,Technique,SYSADM.PS_AM_AUD_HDR_TAO PS_AM_AUD_HDR_TAO oracle_table,15,1,14,1,3,11,1,7.0,26.0,0.0,0.0,0.0,VRAI,Finance,Finance,False
1004401,SYSADM.PS_ACV_NODE_TEMPL,PS_ACV_NODE_TEMPL,oracle_table,Technique,Finance,SYSADM.PS_ACV_NODE_TEMPL PS_ACV_NODE_TEMPL oracle_table,7,0,7,0,0,7,0,10.285714285714285,30.0,1.0,40.0,3.81469726562e-05,VRAI,Technique,IT,False
