asset_id,source_system,asset_type,technical_name,source_ref,field_count,nullable_field_count,non_nullable_field_count,numeric_field_count,date_field_count,text_field_count,large_text_field_count,avg_data_length,max_data_length,row_count,size_bytes,size_mb,has_profile_data,label_raw,label_normalized
1004275,oracle,oracle_table,SYSADM.MV_CAPABILITIES_TABLE,MV_CAPABILITIES_TABLE,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,IT,Technique
1004276,oracle,oracle_table,SYSADM.PS_1099C_CUST_DATA,PS_1099C_CUST_DATA,29,2,27,4,1,24,1,26.068965517241377,55.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004277,oracle,oracle_table,SYSADM.PS_1099_RPT_AET,PS_1099_RPT_AET,20,3,17,4,3,13,0,8.9,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004278,oracle,oracle_table,SYSADM.PS_1099_RPT_TMP,PS_1099_RPT_TMP,75,6,69,18,6,51,0,13.96,55.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004279,oracle,oracle_table,SYSADM.PS_AC_BUOPTS_TAO,PS_AC_BUOPTS_TAO,17,0,17,1,0,16,0,8.23529411764706,35.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004280,oracle,oracle_table,SYSADM.PS_ACCESS_GRP_LANG,PS_ACCESS_GRP_LANG,4,1,3,0,0,4,1,13.25,30.0,0.0,0.0,0.0,VRAI,IT,Technique
1004281,oracle,oracle_table,SYSADM.PS_ACCESS_GRP_TBL,PS_ACCESS_GRP_TBL,3,1,2,0,0,3,1,16.666666666666664,30.0,525.0,40425.0,0.0385522842407226,VRAI,IT,Technique
1004282,oracle,oracle_table,SYSADM.PSACCESSLOG,PSACCESSLOG,0,0,0,0,0,0,0,,,1036500.0,43533000.0,41.51630401611328,VRAI,IT,Technique
1004283,oracle,oracle_table,SYSADM.PSACCESSPRFL,PSACCESSPRFL,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,IT,Technique
1004284,oracle,oracle_table,SYSADM.PSACCESSPROFILE,PSACCESSPROFILE,0,0,0,0,0,0,0,,,1.0,462.0,0.0004405975341796,VRAI,IT,Technique
1004285,oracle,oracle_table,SYSADM.PS_ACCOMP_DEG_UPG,PS_ACCOMP_DEG_UPG,2,0,2,0,0,2,0,5.5,8.0,0.0,0.0,0.0,VRAI,HR,RH
1004286,oracle,oracle_table,SYSADM.PS_ACCOMPLISH_LANG,PS_ACCOMPLISH_LANG,12,1,11,0,1,11,0,19.33333333333333,50.0,0.0,0.0,0.0,VRAI,HR,RH
1004287,oracle,oracle_table,SYSADM.PS_ACCOMPLISHMENTS,PS_ACCOMPLISHMENTS,45,7,38,4,7,34,0,8.57777777777778,50.0,359.0,38772.0,0.0369758605957031,VRAI,HR,RH
1004288,oracle,oracle_table,SYSADM.PS_ACCOMP_TBL,PS_ACCOMP_TBL,18,1,17,3,1,14,0,9.777777777777777,90.0,225.0,14400.0,0.01373291015625,VRAI,HR,RH
1004289,oracle,oracle_table,SYSADM.PS_ACCOMP_TBL_LANG,PS_ACCOMP_TBL_LANG,5,0,5,0,0,5,0,28.2,90.0,0.0,0.0,0.0,VRAI,HR,RH
1004290,oracle,oracle_table,SYSADM.PS_ACCOMP_TST_UPG,PS_ACCOMP_TST_UPG,2,0,2,0,0,2,0,8.0,8.0,0.0,0.0,0.0,VRAI,HR,RH
1004291,oracle,oracle_table,SYSADM.PS_AC_CRCARD_TAO,PS_AC_CRCARD_TAO,15,0,15,7,0,8,0,12.666666666666666,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004292,oracle,oracle_table,SYSADM.PS_AC_CSTSEQ_TAO,PS_AC_CSTSEQ_TAO,7,0,7,3,0,4,0,8.714285714285714,15.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004293,oracle,oracle_table,SYSADM.PS_ACCT_ATTRIB_S,PS_ACCT_ATTRIB_S,4,0,4,0,0,4,0,19.75,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004294,oracle,oracle_table,SYSADM.PS_ACCT_ATTRIB_TBL,PS_ACCT_ATTRIB_TBL,3,0,3,0,0,3,0,16.333333333333332,30.0,2.0,32.0,3.0517578125e-05,VRAI,Finance,Finance
1004295,oracle,oracle_table,SYSADM.PS_ACCTG_HDR_TAO,PS_ACCTG_HDR_TAO,27,4,23,4,4,19,0,13.814814814814817,60.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004296,oracle,oracle_table,SYSADM.PS_ACCTG_HDR_TAO1,PS_ACCTG_HDR_TAO1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004297,oracle,oracle_table,SYSADM.PS_ACCTG_HDR_TAO2,PS_ACCTG_HDR_TAO2,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004298,oracle,oracle_table,SYSADM.PS_ACCTG_HDR_TAO3,PS_ACCTG_HDR_TAO3,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004299,oracle,oracle_table,SYSADM.PS_ACCTG_HDR_TAO4,PS_ACCTG_HDR_TAO4,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004300,oracle,oracle_table,SYSADM.PS_ACCTG_HDR_TAO5,PS_ACCTG_HDR_TAO5,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004301,oracle,oracle_table,SYSADM.PS_ACCTG_HDR_TAO6,PS_ACCTG_HDR_TAO6,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004302,oracle,oracle_table,SYSADM.PS_ACCTG_HDR_TAO7,PS_ACCTG_HDR_TAO7,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004303,oracle,oracle_table,SYSADM.PS_ACCTG_HDR_TAO8,PS_ACCTG_HDR_TAO8,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004304,oracle,oracle_table,SYSADM.PS_ACCTG_LNE_TAO,PS_ACCTG_LNE_TAO,54,4,50,10,4,40,0,10.203703703703704,60.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004305,oracle,oracle_table,SYSADM.PS_ACCTG_LNE_TAO1,PS_ACCTG_LNE_TAO1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004306,oracle,oracle_table,SYSADM.PS_ACCTG_LNE_TAO2,PS_ACCTG_LNE_TAO2,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004307,oracle,oracle_table,SYSADM.PS_ACCTG_LNE_TAO3,PS_ACCTG_LNE_TAO3,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004308,oracle,oracle_table,SYSADM.PS_ACCTG_LNE_TAO4,PS_ACCTG_LNE_TAO4,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004309,oracle,oracle_table,SYSADM.PS_ACCTG_LNE_TAO5,PS_ACCTG_LNE_TAO5,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004310,oracle,oracle_table,SYSADM.PS_ACCTG_LNE_TAO6,PS_ACCTG_LNE_TAO6,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004311,oracle,oracle_table,SYSADM.PS_ACCTG_LNE_TAO7,PS_ACCTG_LNE_TAO7,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004312,oracle,oracle_table,SYSADM.PS_ACCTG_LNE_TAO8,PS_ACCTG_LNE_TAO8,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004313,oracle,oracle_table,SYSADM.PS_ACCTG_TAG_COMP,PS_ACCTG_TAG_COMP,4,0,4,0,0,4,0,9.75,18.0,25.0,575.0,0.0005483627319335,VRAI,Finance,Finance
1004314,oracle,oracle_table,SYSADM.PS_ACCTG_TAG_DT,PS_ACCTG_TAG_DT,31,0,31,3,1,27,0,8.064516129032258,20.0,87.0,7830.0,0.0074672698974609,VRAI,Finance,Finance
1004315,oracle,oracle_table,SYSADM.PS_ACCTG_TAG_DT2,PS_ACCTG_TAG_DT2,34,0,34,5,1,28,0,8.705882352941176,28.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004316,oracle,oracle_table,SYSADM.PS_ACCTG_TAG_DT3,PS_ACCTG_TAG_DT3,34,0,34,5,1,28,0,8.705882352941176,28.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004317,oracle,oracle_table,SYSADM.PS_ACCTG_TAG_FAV,PS_ACCTG_TAG_FAV,5,0,5,0,0,5,0,20.6,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004318,oracle,oracle_table,SYSADM.PS_ACCTG_TAG_GRP,PS_ACCTG_TAG_GRP,5,1,4,0,0,5,1,10.2,30.0,5.0,505.0,0.0004816055297851,VRAI,Finance,Finance
1004319,oracle,oracle_table,SYSADM.PS_ACCTG_TAG_HD,PS_ACCTG_TAG_HD,8,1,7,0,1,7,0,10.625,30.0,23.0,759.0,0.0007238388061523,VRAI,Finance,Finance
1004320,oracle,oracle_table,SYSADM.PS_ACCTG_TAG_LNG,PS_ACCTG_TAG_LNG,7,2,5,0,1,6,1,11.142857142857142,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004321,oracle,oracle_table,SYSADM.PS_ACCTG_TAG_PERM,PS_ACCTG_TAG_PERM,5,0,5,1,0,4,0,18.2,30.0,24.0,624.0,0.0005950927734375,VRAI,Finance,Finance
1004322,oracle,oracle_table,SYSADM.PS_ACCTG_TAG_PROD,PS_ACCTG_TAG_PROD,6,1,5,0,1,5,0,11.666666666666666,30.0,73.0,3139.0,0.0029935836791992,VRAI,Finance,Finance
1004323,oracle,oracle_table,SYSADM.PS_ACCTG_TAG_TBL,PS_ACCTG_TAG_TBL,13,2,11,1,2,10,1,8.615384615384615,30.0,24.0,2616.0,0.0024948120117187,VRAI,Finance,Finance
1004324,oracle,oracle_table,SYSADM.PS_ACCTG_VAT_TAO,PS_ACCTG_VAT_TAO,61,0,61,24,1,36,0,11.049180327868852,28.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004325,oracle,oracle_table,SYSADM.PS_ACCTG_VAT_TAO1,PS_ACCTG_VAT_TAO1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004326,oracle,oracle_table,SYSADM.PS_ACCTG_VAT_TAO2,PS_ACCTG_VAT_TAO2,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004327,oracle,oracle_table,SYSADM.PS_ACCTG_VAT_TAO3,PS_ACCTG_VAT_TAO3,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004328,oracle,oracle_table,SYSADM.PS_ACCTG_VAT_TAO4,PS_ACCTG_VAT_TAO4,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004329,oracle,oracle_table,SYSADM.PS_ACCTG_VAT_TAO5,PS_ACCTG_VAT_TAO5,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004330,oracle,oracle_table,SYSADM.PS_ACCTG_VAT_TAO6,PS_ACCTG_VAT_TAO6,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004331,oracle,oracle_table,SYSADM.PS_ACCTG_VAT_TAO7,PS_ACCTG_VAT_TAO7,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004332,oracle,oracle_table,SYSADM.PS_ACCTG_VAT_TAO8,PS_ACCTG_VAT_TAO8,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1004333,oracle,oracle_table,SYSADM.PS_ACCTNG_DT_AET,PS_ACCTNG_DT_AET,15,0,15,11,0,4,0,3.9333333333333327,10.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004334,oracle,oracle_table,SYSADM.PS_ACCT_TYPCD_LNG,PS_ACCT_TYPCD_LNG,7,0,7,0,1,6,0,9.857142857142856,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004335,oracle,oracle_table,SYSADM.PS_ACCT_TYPE_LANG,PS_ACCT_TYPE_LANG,5,0,5,0,0,5,0,9.8,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004336,oracle,oracle_table,SYSADM.PS_ACCT_TYPE_TBL,PS_ACCT_TYPE_TBL,5,0,5,0,0,5,0,9.4,30.0,41.0,1107.0,0.0010557174682617,VRAI,Finance,Finance
1004338,oracle,oracle_table,SYSADM.PS_AC_DEPID_TAO,PS_AC_DEPID_TAO,3,0,3,2,0,1,0,10.0,15.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004339,oracle,oracle_table,SYSADM.PS_AC_DEP_TAO,PS_AC_DEP_TAO,23,0,23,5,3,15,0,9.34782608695652,35.0,0.0,0.0,0.0,VRAI,Finance,Finance
1004340,oracle,oracle_table,SYSADM.PSACECUBE,PSACECUBE,0,0,0,0,0,0,0,,,31.0,1395.0,0.0013303756713867,VRAI,IT,Technique
1004341,oracle,oracle_table,SYSADM.PSACECUBECOLL,PSACECUBECOLL,0,0,0,0,0,0,0,,,18.0,954.0,0.0009098052978515,VRAI,IT,Technique
1004342,oracle,oracle_table,SYSADM.PSACECUBECOLMAP,PSACECUBECOLMAP,0,0,0,0,0,0,0,,,171.0,14022.0,0.0133724212646484,VRAI,IT,Technique
1004343,oracle,oracle_table,SYSADM.PSACECUBEDIMS,PSACECUBEDIMS,0,0,0,0,0,0,0,,,173.0,7612.0,0.0072593688964843,VRAI,IT,Technique
1004344,oracle,oracle_table,SYSADM.PSACEDIM,PSACEDIM,0,0,0,0,0,0,0,,,53.0,2014.0,0.0019207000732421,VRAI,IT,Technique
1004345,oracle,oracle_table,SYSADM.PSACEEXPDIMS,PSACEEXPDIMS,0,0,0,0,0,0,0,,,61.0,1769.0,0.0016870498657226,VRAI,IT,Technique
1004346,oracle,oracle_table,SYSADM.PSACEEXPSET,PSACEEXPSET,0,0,0,0,0,0,0,,,4.0,84.0,8.01086425781e-05,VRAI,IT,Technique
1004347,oracle,oracle_table,SYSADM.PSACEMDLDEFN,PSACEMDLDEFN,0,0,0,0,0,0,0,,,7.0,665.0,0.0006341934204101,VRAI,IT,Technique
