"prefix","count","pct_of_other"
"GM","112","4,8255"
"PC","75","3,2314"
"RS","69","2,9729"
"WM","66","2,8436"
"FO","62","2,6713"
"AUC","61","2,6282"
"CA","46","1,9819"
"RE","46","1,9819"
"EOCM","43","1,8526"
"AM","42","1,8096"
"FS","42","1,8096"
"PROJ","41","1,7665"
"CS","38","1,6372"
"PV","36","1,5511"
"BI","32","1,3787"
"EX","32","1,3787"
"SCD","31","1,3356"
"DP","28","1,2064"
"EODI","27","1,1633"
"CP","26","1,1202"
"EODP","26","1,1202"
"EOCF","23","0,991"
"CF","22","0,9479"
"SAC","21","0,9048"
"MC","20","0,8617"
"QS","20","0,8617"
"EB","18","0,7755"
"UPG","17","0,7324"
"ASSET","15","0,6463"
"BU","15","0,6463"
"PTLT","15","0,6463"
"BUS","14","0,6032"
"EO","14","0,6032"
"EOEW","14","0,6032"
"AGC","13","0,5601"
"EOEC","13","0,5601"
"EOQF","13","0,5601"
"POS","13","0,5601"
"TD","13","0,5601"
"EOTR","12","0,517"
"COMBO","11","0,4739"
"PTAI","11","0,4739"
"PTSF","11","0,4739"
"RTBL","11","0,4739"
"EN","10","0,4308"
"EOEP","10","0,4308"
"IN","10","0,4308"
"IU","10","0,4308"
"PTPPB","10","0,4308"
"DR","9","0,3878"
"EXP","9","0,3878"
"PROD","9","0,3878"
"TR","9","0,3878"
"KK","8","0,3447"
"SDN","8","0,3447"
"CM","7","0,3016"
"CNAO","7","0,3016"
"EG","7","0,3016"
"EXPLODE","7","0,3016"
"PM","7","0,3016"
"SPA","7","0,3016"
"UA","7","0,3016"
"CAP","6","0,2585"
"DATA","6","0,2585"
"EOTF","6","0,2585"
"FFS","6","0,2585"
"IB","6","0,2585"
"OI","6","0,2585"
"PTBR","6","0,2585"
"PTFP","6","0,2585"
"TESTI","6","0,2585"
"CC","5","0,2154"
"EOTP","5","0,2154"
"FCLTY","5","0,2154"
"FINT","5","0,2154"
"FR","5","0,2154"
"MG","5","0,2154"
"PL","5","0,2154"
"PROJECT","5","0,2154"
"PT","5","0,2154"
"R","5","0,2154"
"RT","5","0,2154"
"SIC","5","0,2154"
"SP","5","0,2154"
"SPB","5","0,2154"
"TEST","5","0,2154"
"A","4","0,1723"
"AGENCY","4","0,1723"
"BOOK","4","0,1723"
"CAF","4","0,1723"
"CAL","4","0,1723"
"CE","4","0,1723"
"CSH","4","0,1723"
"CUST","4","0,1723"
"D","4","0,1723"
"DIM","4","0,1723"
"DPA","4","0,1723"
"EM","4","0,1723"
"EOCC","4","0,1723"
"FAI","4","0,1723"
"INSTR","4","0,1723"
"ITM","4","0,1723"
"LEASE","4","0,1723"
"MAJOR","4","0,1723"
"MASS","4","0,1723"
"MINOR","4","0,1723"
"NET","4","0,1723"
"PRD","4","0,1723"
"PRODCTLG","4","0,1723"
"PSA","4","0,1723"
"PTACM","4","0,1723"
"PTAFAW","4","0,1723"
"PTCHPLC","4","0,1723"
"PTGP","4","0,1723"
"PTOBI","4","0,1723"
"PTPN","4","0,1723"
"SDK","4","0,1723"
"TREE","4","0,1723"
"TV","4","0,1723"
"UNITS","4","0,1723"
"WS","4","0,1723"
"ACV","3","0,1293"
"ALTACCT","3","0,1293"
"AMR","3","0,1293"
"ART","3","0,1293"
"AVN","3","0,1293"
"BD","3","0,1293"
"CDM","3","0,1293"
"CLOSE","3","0,1293"
"CONST","3","0,1293"
"CONT","3","0,1293"
"CURR","3","0,1293"
"DL","3","0,1293"
"EQTZ","3","0,1293"
"EXT","3","0,1293"
"FOMB","3","0,1293"
"FUS","3","0,1293"
"GOV","3","0,1293"
"MIN","3","0,1293"
"NAME","3","0,1293"
"PGM","3","0,1293"
"PROFILE","3","0,1293"
"PSDMT","3","0,1293"
"PTAFEMC","3","0,1293"
"PTCS","3","0,1293"
"PTFX","3","0,1293"
"RC","3","0,1293"
"SCHEDULE","3","0,1293"
"SCP","3","0,1293"
"SHIFT","3","0,1293"
"SPF","3","0,1293"
"SUT","3","0,1293"
"TGEO","3","0,1293"
"TRANS","3","0,1293"
"UD","3","0,1293"
"WL","3","0,1293"
"WORKSHEET","3","0,1293"
"ADB","2","0,0862"
"ADJ","2","0,0862"
"AMAE","2","0,0862"
"ANALYSIS","2","0,0862"
"ARCH","2","0,0862"
"AUCMCFPRES","2","0,0862"
"AUTO","2","0,0862"
"BC","2","0,0862"
"BID","2","0,0862"
"BKC","2","0,0862"
"CFV","2","0,0862"
"CNTRY","2","0,0862"
"COMMOD","2","0,0862"
"CONSOL","2","0,0862"
"CONSTR","2","0,0862"
"CONSTRAINT","2","0,0862"
"CONV","2","0,0862"
"COUNTRYTBL","2","0,0862"
"CTI","2","0,0862"
"CUR","2","0,0862"
"CURRENCY","2","0,0862"
"DIV","2","0,0862"
"DMT","2","0,0862"
"DSSRCHATTR","2","0,0862"
"DZ","2","0,0862"
"ECINTPARTNER","2","0,0862"
"ECOUTMAPCVT","2","0,0862"
"EOBF","2","0,0862"
"EOCB","2","0,0862"
"EODU","2","0,0862"
"EOPCMIG","2","0,0862"
"EOTL","2","0,0862"
"ESA","2","0,0862"
"EVENTS","2","0,0862"
"EXD","2","0,0862"
"F2","2","0,0862"
"FEC","2","0,0862"
"FERC","2","0,0862"
"FORECAST","2","0,0862"
"FORECST","2","0,0862"
