asset_id,technical_name,source_ref,asset_type,label_normalized,predicted_label,review_priority,text_combined,field_count,nullable_field_count,non_nullable_field_count,numeric_field_count,date_field_count,text_field_count,large_text_field_count,avg_data_length,max_data_length,row_count,size_bytes,size_mb,y_true,y_pred,label_normalized_clean,source_system,has_profile_data,label_raw
1004570,SYSADM.PS_AE_SECTION_TMP,PS_AE_SECTION_TMP,oracle_table,Technique,Finance,high,SYSADM.PS_AE_SECTION_TMP PS_AE_SECTION_TMP oracle_table,10,0,10,1,1,8,0,6.5,30.0,0.0,0.0,0.0,Technique,Finance,Technique,,,
1004624,SYSADM.PS_AGC_NOTIFY_AET,PS_AGC_NOTIFY_AET,oracle_table,Technique,Finance,high,SYSADM.PS_AGC_NOTIFY_AET PS_AGC_NOTIFY_AET oracle_table,7,0,7,1,0,6,0,47.0,254.0,0.0,0.0,0.0,Technique,Finance,Technique,,,
1004342,SYSADM.PSACECUBECOLMAP,PSACECUBECOLMAP,oracle_table,Technique,Finance,high,SYSADM.PSACECUBECOLMAP PSACECUBECOLMAP oracle_table,0,0,0,0,0,0,0,,,171.0,14022.0,0.0133724212646484,Technique,Finance,Technique,,,
1004587,SYSADM.PS_AE_TREURODL_AET,PS_AE_TREURODL_AET,oracle_table,Technique,Finance,high,SYSADM.PS_AE_TREURODL_AET PS_AE_TREURODL_AET oracle_table,5,0,5,2,0,3,0,8.6,15.0,0.0,0.0,0.0,Technique,Finance,Technique,,,
1004528,SYSADM.PS_AE_AMGRPCON_AET,PS_AE_AMGRPCON_AET,oracle_table,Technique,Finance,high,SYSADM.PS_AE_AMGRPCON_AET PS_AE_AMGRPCON_AET oracle_table,108,11,97,18,11,79,0,9.296296296296296,30.0,0.0,0.0,0.0,Technique,Finance,Technique,,,
1004583,SYSADM.PS_AE_SYNCGEN_AET,PS_AE_SYNCGEN_AET,oracle_table,Technique,Finance,high,SYSADM.PS_AE_SYNCGEN_AET PS_AE_SYNCGEN_AET oracle_table,6,0,6,2,0,4,0,14.5,30.0,0.0,0.0,0.0,Technique,Finance,Technique,,,
1004401,SYSADM.PS_ACV_NODE_TEMPL,PS_ACV_NODE_TEMPL,oracle_table,Technique,Finance,high,SYSADM.PS_ACV_NODE_TEMPL PS_ACV_NODE_TEMPL oracle_table,7,0,7,0,0,7,0,10.285714285714285,30.0,1.0,40.0,3.81469726562e-05,Technique,Finance,Technique,,,
1004477,SYSADM.PSADSSQLREF,PSADSSQLREF,oracle_table,Technique,Finance,high,SYSADM.PSADSSQLREF PSADSSQLREF oracle_table,0,0,0,0,0,0,0,,,0.0,0.0,0.0,Technique,Finance,Technique,,,
1004476,SYSADM.PSADS_REQUEST,PSADS_REQUEST,oracle_table,Technique,Finance,high,SYSADM.PSADS_REQUEST PSADS_REQUEST oracle_table,0,0,0,0,0,0,0,,,0.0,0.0,0.0,Technique,Finance,Technique,,,
1004627,SYSADM.PS_AGC_SRCHKEY_FLD,PS_AGC_SRCHKEY_FLD,oracle_table,Technique,Finance,high,SYSADM.PS_AGC_SRCHKEY_FLD PS_AGC_SRCHKEY_FLD oracle_table,5,0,5,1,0,4,0,7.6,18.0,0.0,0.0,0.0,Technique,Finance,Technique,,,
